device_id,banner_type,text,source_file
nrr_cor_c_sw002,motd,^CC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device.,configs\NRR-COR-C-SW002.alrajhi.bank-10.99.18.254-2025-05-15_11-06-05.log
NRR-EXT-EXT-FW001_d41d8cd9,admin_cert,fortinet.alrajhi.bank-Cert,configs\NRR-EXT-EXT-FW001_7-0_9221_202505151424.conf
NRR-EXT-EXTBR-R002_d41d8cd9,motd,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-EXTBR-R002_d41d8cd9,login,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-EXT-EXTBR-R002.alrajhi.bank-10.99.18.32-2025-05-15_11-06-44.log
NRR-EXT-SAMA-FW001_d41d8cd9,admin_cert,fortinet.alrajhi.bank-Cert,configs\NRR-EXT-SAMA-FW001_7-0_9221_202505151426.conf
NRR-EXT-TAD-FW001_d41d8cd9,admin_cert,fortinet.alrajhi.bank-Cert,configs\NRR-EXT-TAD-FW001_7-0_9221_202505151426.conf
NRR-INT-INTBR-R001_d41d8cd9,motd,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-INT-INTBR-R001_d41d8cd9,login,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-INT-INTBR-R001.alrajhi.bank-10.99.18.44-2025-05-15_11-06-50.log
NRR-OOB-AGG-FW001_d41d8cd9,admin_cert,fortinet.alrajhi.bank-Cert,configs\NRR-OOB-AGG-FW001_7-0_9221_202505151433.conf
NRR-WAN-AGG-FW001_d41d8cd9,admin_cert,fortinet.alrajhi.bank-Cert,configs\NRR-WAN-AGG-FW001_7-0_0282_202505151434.conf
NRR-WAN-BR-R001_d41d8cd9,motd,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R001_d41d8cd9,login,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-WAN-BR-R001.alrajhibank.com.sa-10.99.18.9-2025-05-15_11-06-08.log
NRR-WAN-BR-R002_d41d8cd9,motd,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
NRR-WAN-BR-R002_d41d8cd9,login,CCCC *********************WELCOME TO********************** 0 00000 0 00000 00000 00000 0 0 0 0 0 0 0 0 0 0 0 0 00000 0 0 00000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00000 00000 00000 NET *******UNAUTHORISED ACCESS STRICTLY PROHIBITED******* You have logged on to a Al Rajhi proprietary device. UNAUTHORIZED ACCESS TO THIS NETWORK DEVICE IS PROHIBITED. You must have explicit permission to access or configure this device. All activities performed on this device may be logged. Violations of this policy may result in disciplinary action. This may be reported to law enforcement.,configs\NRR-WAN-BR-R002.alrajhibank.com.sa-10.99.18.10-2025-05-15_11-06-16.log
